symbol,datetime,open,high,low,close,volume
HDFCBANK,2025-08-14 09:15:00+05:30,1978.0,1983.6,1971.2,1983.2,257736
HDFCBANK,2025-08-14 09:18:00+05:30,1983.2,1984.9,1980.5,1981.0,109620
HDFCBANK,2025-08-14 09:21:00+05:30,1980.8,1984.5,1980.6,1983.7,58730
HDFCBANK,2025-08-14 09:24:00+05:30,1983.7,1986.5,1983.4,1986.2,105784
HDFCBANK,2025-08-14 09:27:00+05:30,1986.6,1988.2,1986.0,1987.3,54843
HDFCBANK,2025-08-14 09:30:00+05:30,1987.3,1988.0,1986.7,1988.0,35205
HDFCBANK,2025-08-14 09:33:00+05:30,1988.0,1988.9,1986.0,1988.5,60540
HDFCBANK,2025-08-14 09:36:00+05:30,1988.9,1991.6,1988.9,1991.1,85957
HDFCBANK,2025-08-14 09:39:00+05:30,1991.1,1992.5,1991.0,1992.1,100946
HDFCBANK,2025-08-14 09:42:00+05:30,1992.2,1993.7,1992.0,1993.0,69264
HDFCBANK,2025-08-14 09:45:00+05:30,1992.9,1994.8,1992.2,1992.7,139321
HDFCBANK,2025-08-14 09:48:00+05:30,1992.9,1993.0,1990.2,1990.4,61495
HDFCBANK,2025-08-14 09:51:00+05:30,1990.3,1991.9,1990.1,1990.5,66848
HDFCBANK,2025-08-14 09:54:00+05:30,1990.7,1991.9,1990.5,1990.5,46437
HDFCBANK,2025-08-14 09:57:00+05:30,1990.7,1990.9,1989.4,1989.6,29664
HDFCBANK,2025-08-14 10:00:00+05:30,1989.6,1989.6,1988.5,1988.5,40065
HDFCBANK,2025-08-14 10:03:00+05:30,1989.0,1989.4,1986.2,1987.4,38419
HDFCBANK,2025-08-14 10:06:00+05:30,1987.4,1988.2,1986.3,1986.9,40414
HDFCBANK,2025-08-14 10:09:00+05:30,1986.9,1987.8,1986.1,1987.2,163707
HDFCBANK,2025-08-14 10:12:00+05:30,1987.1,1987.9,1986.2,1987.2,48055
HDFCBANK,2025-08-14 10:15:00+05:30,1987.1,1987.7,1986.1,1987.4,49734
HDFCBANK,2025-08-14 10:18:00+05:30,1987.4,1990.0,1987.4,1987.7,52890
HDFCBANK,2025-08-14 10:21:00+05:30,1987.7,1991.5,1987.7,1990.9,60306
HDFCBANK,2025-08-14 10:24:00+05:30,1990.9,1992.6,1990.7,1992.0,37217
HDFCBANK,2025-08-14 10:27:00+05:30,1992.0,1992.1,1990.0,1990.0,36559
HDFCBANK,2025-08-14 10:30:00+05:30,1989.9,1990.7,1989.5,1990.6,12565
HDFCBANK,2025-08-14 10:33:00+05:30,1990.5,1992.4,1990.5,1991.9,27940
HDFCBANK,2025-08-14 10:36:00+05:30,1991.9,1992.4,1990.5,1991.7,29658
HDFCBANK,2025-08-14 10:39:00+05:30,1991.7,1992.1,1990.4,1991.6,36006
HDFCBANK,2025-08-14 10:42:00+05:30,1991.8,1992.4,1990.6,1991.4,14995
HDFCBANK,2025-08-14 10:45:00+05:30,1991.4,1991.7,1989.2,1989.2,31950
HDFCBANK,2025-08-14 10:48:00+05:30,1989.4,1989.8,1989.1,1989.4,13904
HDFCBANK,2025-08-14 10:51:00+05:30,1989.4,1989.5,1988.1,1988.9,88109
HDFCBANK,2025-08-14 10:54:00+05:30,1988.9,1989.3,1986.7,1987.5,40836
HDFCBANK,2025-08-14 10:57:00+05:30,1987.5,1989.1,1987.5,1988.0,38782
HDFCBANK,2025-08-14 11:00:00+05:30,1988.7,1989.2,1988.3,1988.9,30649
HDFCBANK,2025-08-14 11:03:00+05:30,1988.7,1989.0,1987.9,1987.9,46600
HDFCBANK,2025-08-14 11:06:00+05:30,1987.9,1988.0,1986.7,1987.3,47653
HDFCBANK,2025-08-14 11:09:00+05:30,1987.3,1989.0,1986.8,1987.0,47294
HDFCBANK,2025-08-14 11:12:00+05:30,1987.0,1987.8,1986.7,1987.8,27379
HDFCBANK,2025-08-14 11:15:00+05:30,1987.9,1990.4,1987.3,1990.4,45865
HDFCBANK,2025-08-14 11:18:00+05:30,1990.2,1991.4,1990.2,1991.1,39346
HDFCBANK,2025-08-14 11:21:00+05:30,1991.0,1991.8,1988.0,1989.6,104013
