symbol,datetime,open,high,low,close,volume
NIFTY25AUGFUT,2025-08-14 09:15:00+05:30,24708.9,24727.4,24695.1,24715.7,104400
NIFTY25AUGFUT,2025-08-14 09:18:00+05:30,24715.7,24720.0,24686.0,24690.0,100575
NIFTY25AUGFUT,2025-08-14 09:21:00+05:30,24690.0,24719.5,24681.1,24696.6,77550
NIFTY25AUGFUT,2025-08-14 09:24:00+05:30,24700.0,24710.0,24695.0,24697.6,38400
NIFTY25AUGFUT,2025-08-14 09:27:00+05:30,24695.1,24711.0,24691.0,24708.1,35625
NIFTY25AUGFUT,2025-08-14 09:30:00+05:30,24708.1,24714.5,24696.0,24701.7,34950
NIFTY25AUGFUT,2025-08-14 09:33:00+05:30,24696.0,24704.0,24685.1,24687.5,43800
NIFTY25AUGFUT,2025-08-14 09:36:00+05:30,24688.0,24709.5,24685.0,24705.5,45600
NIFTY25AUGFUT,2025-08-14 09:39:00+05:30,24705.5,24718.2,24699.3,24718.2,35025
NIFTY25AUGFUT,2025-08-14 09:42:00+05:30,24718.2,24737.8,24716.0,24730.0,80775
NIFTY25AUGFUT,2025-08-14 09:45:00+05:30,24730.0,24750.9,24726.1,24746.0,264975
NIFTY25AUGFUT,2025-08-14 09:48:00+05:30,24746.0,24746.3,24724.0,24724.0,82500
NIFTY25AUGFUT,2025-08-14 09:51:00+05:30,24724.0,24733.7,24720.0,24730.3,27000
NIFTY25AUGFUT,2025-08-14 09:54:00+05:30,24730.3,24733.7,24720.5,24721.0,34350
NIFTY25AUGFUT,2025-08-14 09:57:00+05:30,24721.0,24729.5,24701.8,24708.7,37275
NIFTY25AUGFUT,2025-08-14 10:00:00+05:30,24708.7,24713.4,24694.4,24705.0,189750
NIFTY25AUGFUT,2025-08-14 10:03:00+05:30,24705.0,24708.0,24685.0,24694.5,42225
NIFTY25AUGFUT,2025-08-14 10:06:00+05:30,24690.2,24704.0,24689.2,24702.0,41325
NIFTY25AUGFUT,2025-08-14 10:09:00+05:30,24702.0,24703.8,24690.5,24698.8,51525
NIFTY25AUGFUT,2025-08-14 10:12:00+05:30,24698.8,24700.0,24689.0,24698.0,60075
NIFTY25AUGFUT,2025-08-14 10:15:00+05:30,24698.0,24700.2,24687.6,24700.0,40950
NIFTY25AUGFUT,2025-08-14 10:18:00+05:30,24700.0,24705.0,24696.0,24696.0,10875
NIFTY25AUGFUT,2025-08-14 10:21:00+05:30,24696.0,24719.8,24696.0,24716.7,15975
NIFTY25AUGFUT,2025-08-14 10:24:00+05:30,24716.7,24729.0,24711.0,24726.3,16350
NIFTY25AUGFUT,2025-08-14 10:27:00+05:30,24726.3,24728.3,24720.1,24722.0,10350
NIFTY25AUGFUT,2025-08-14 10:30:00+05:30,24722.0,24730.0,24722.0,24725.1,38625
NIFTY25AUGFUT,2025-08-14 10:33:00+05:30,24725.1,24730.0,24725.1,24727.0,20625
NIFTY25AUGFUT,2025-08-14 10:36:00+05:30,24727.0,24728.8,24714.2,24720.8,10425
NIFTY25AUGFUT,2025-08-14 10:39:00+05:30,24720.8,24721.0,24704.8,24710.0,35325
NIFTY25AUGFUT,2025-08-14 10:42:00+05:30,24710.0,24718.0,24708.7,24714.0,82350
NIFTY25AUGFUT,2025-08-14 10:45:00+05:30,24714.0,24720.0,24707.2,24715.0,19950
NIFTY25AUGFUT,2025-08-14 10:48:00+05:30,24715.0,24720.0,24711.6,24719.0,9375
NIFTY25AUGFUT,2025-08-14 10:51:00+05:30,24719.0,24719.0,24710.0,24711.0,6000
NIFTY25AUGFUT,2025-08-14 10:54:00+05:30,24711.0,24714.1,24693.8,24699.5,41775
NIFTY25AUGFUT,2025-08-14 10:57:00+05:30,24699.5,24718.0,24699.5,24714.6,15450
NIFTY25AUGFUT,2025-08-14 11:00:00+05:30,24714.6,24723.5,24710.5,24723.2,38925
NIFTY25AUGFUT,2025-08-14 11:03:00+05:30,24723.2,24723.6,24716.0,24716.0,6525
