symbol,datetime,open,high,low,close,volume
RELIANCE,2025-08-14 09:15:00+05:30,1377.3,1380.1,1375.1,1378.7,143264
RELIANCE,2025-08-14 09:18:00+05:30,1378.7,1379.1,1377.2,1377.5,66069
RELIANCE,2025-08-14 09:21:00+05:30,1377.5,1379.5,1376.9,1378.7,40583
RELIANCE,2025-08-14 09:24:00+05:30,1379.1,1379.1,1377.2,1377.4,37109
RELIANCE,2025-08-14 09:27:00+05:30,1377.5,1378.5,1377.2,1378.3,42659
RELIANCE,2025-08-14 09:30:00+05:30,1378.3,1379.5,1377.1,1377.6,37053
RELIANCE,2025-08-14 09:33:00+05:30,1377.6,1378.6,1377.0,1377.0,29424
RELIANCE,2025-08-14 09:36:00+05:30,1377.5,1378.4,1377.2,1378.3,23489
RELIANCE,2025-08-14 09:39:00+05:30,1378.0,1378.4,1377.5,1377.9,22276
RELIANCE,2025-08-14 09:42:00+05:30,1378.2,1379.2,1378.2,1378.7,28559
RELIANCE,2025-08-14 09:45:00+05:30,1378.6,1380.7,1378.1,1380.1,71361
RELIANCE,2025-08-14 09:48:00+05:30,1380.2,1380.4,1379.4,1379.5,25632
RELIANCE,2025-08-14 09:51:00+05:30,1379.1,1379.1,1378.4,1378.4,20992
RELIANCE,2025-08-14 09:54:00+05:30,1378.3,1378.8,1377.0,1377.0,33382
RELIANCE,2025-08-14 09:57:00+05:30,1377.1,1378.1,1377.0,1377.4,24088
RELIANCE,2025-08-14 10:00:00+05:30,1377.2,1378.7,1376.6,1378.3,39739
RELIANCE,2025-08-14 10:03:00+05:30,1378.2,1378.2,1376.0,1376.2,24924
RELIANCE,2025-08-14 10:06:00+05:30,1376.2,1378.2,1376.0,1377.9,30749
RELIANCE,2025-08-14 10:09:00+05:30,1377.9,1378.2,1377.3,1377.4,19366
RELIANCE,2025-08-14 10:12:00+05:30,1377.4,1377.4,1374.0,1375.0,103291
RELIANCE,2025-08-14 10:15:00+05:30,1374.9,1375.1,1374.0,1374.6,69473
RELIANCE,2025-08-14 10:18:00+05:30,1374.7,1375.8,1374.6,1375.0,28957
RELIANCE,2025-08-14 10:21:00+05:30,1375.0,1376.4,1374.6,1376.1,35583
