symbol,datetime,open,high,low,close,volume
TCS,2025-08-14 09:15:00+05:30,3034.0,3055.9,3034.0,3050.0,102338
TCS,2025-08-14 09:18:00+05:30,3049.9,3051.4,3044.0,3044.0,80158
TCS,2025-08-14 09:21:00+05:30,3044.0,3046.4,3041.5,3044.9,28033
TCS,2025-08-14 09:24:00+05:30,3045.0,3046.0,3043.0,3043.7,29812
TCS,2025-08-14 09:27:00+05:30,3043.7,3044.0,3041.5,3041.8,13475
TCS,2025-08-14 09:30:00+05:30,3041.8,3042.4,3040.5,3040.5,16423
TCS,2025-08-14 09:33:00+05:30,3040.6,3042.6,3036.5,3038.7,44781
TCS,2025-08-14 09:36:00+05:30,3039.7,3040.5,3038.0,3040.2,14135
TCS,2025-08-14 09:39:00+05:30,3040.5,3041.8,3039.0,3039.6,12331
TCS,2025-08-14 09:42:00+05:30,3041.0,3041.1,3039.6,3041.0,11528
TCS,2025-08-14 09:45:00+05:30,3040.7,3041.4,3040.0,3040.7,9498
TCS,2025-08-14 09:48:00+05:30,3040.7,3040.9,3039.6,3039.9,8481
TCS,2025-08-14 09:51:00+05:30,3039.7,3040.0,3036.2,3038.1,15607
TCS,2025-08-14 09:54:00+05:30,3037.7,3039.1,3037.5,3038.5,12615
TCS,2025-08-14 09:57:00+05:30,3038.5,3038.5,3035.2,3036.8,8774
TCS,2025-08-14 10:00:00+05:30,3036.3,3037.9,3035.5,3037.2,8260
TCS,2025-08-14 10:03:00+05:30,3037.2,3037.2,3033.3,3035.1,12747
TCS,2025-08-14 10:06:00+05:30,3035.5,3036.4,3034.6,3034.9,7244
TCS,2025-08-14 10:09:00+05:30,3034.9,3035.9,3034.4,3034.5,10739
TCS,2025-08-14 10:12:00+05:30,3034.5,3036.0,3033.3,3034.9,52957
TCS,2025-08-14 10:15:00+05:30,3035.0,3036.2,3034.3,3036.0,37140
TCS,2025-08-14 10:18:00+05:30,3036.9,3037.0,3034.0,3035.0,12444
TCS,2025-08-14 10:21:00+05:30,3034.9,3037.5,3034.9,3035.5,21976
TCS,2025-08-14 10:24:00+05:30,3035.5,3037.3,3034.5,3036.6,13571
TCS,2025-08-14 10:27:00+05:30,3036.6,3038.0,3036.3,3036.8,10110
TCS,2025-08-14 10:30:00+05:30,3036.8,3042.6,3036.7,3041.9,37202
TCS,2025-08-14 10:33:00+05:30,3040.8,3043.0,3040.7,3041.8,29029
TCS,2025-08-14 10:36:00+05:30,3041.8,3046.5,3041.4,3046.3,37666
TCS,2025-08-14 10:39:00+05:30,3046.4,3046.5,3040.0,3042.0,115581
TCS,2025-08-14 10:42:00+05:30,3042.0,3049.8,3040.6,3048.0,66160
TCS,2025-08-14 10:45:00+05:30,3048.0,3049.0,3045.0,3046.6,44443
TCS,2025-08-14 10:48:00+05:30,3046.6,3047.9,3045.2,3045.3,21588
TCS,2025-08-14 10:51:00+05:30,3045.4,3047.8,3043.1,3046.6,36805
TCS,2025-08-14 10:54:00+05:30,3046.6,3047.0,3041.7,3042.5,21303
TCS,2025-08-14 10:57:00+05:30,3042.5,3045.0,3041.7,3044.3,15396
TCS,2025-08-14 11:00:00+05:30,3044.4,3050.0,3043.2,3049.9,59367
TCS,2025-08-14 11:03:00+05:30,3049.9,3051.3,3047.9,3049.5,36276
