symbol,win,z,trades,net_pnl,daily_sharpe,max_drawdown
NIFTY25AUGFUT,10,1.0,41,-666.2,,666.2
NIFTY25AUGFUT,10,1.5,13,1078.51,,553.51
NIFTY25AUGFUT,10,2.0,4,1011.39,,476.83
NIFTY25AUGFUT,20,1.0,33,-641.19,,654.12
NIFTY25AUGFUT,20,1.5,11,1018.89,,545.1
NIFTY25AUGFUT,20,2.0,2,-289.14,,803.21
NIFTY25AUGFUT,30,1.0,26,-678.5,,931.1
NIFTY25AUGFUT,30,1.5,6,650.54,,510.16
NIFTY25AUGFUT,30,2.0,4,650.54,,510.16
NIFTY25AUGFUT,40,1.0,23,-658.55,,658.55
NIFTY25AUGFUT,40,1.5,6,255.04,,545.62
NIFTY25AUGFUT,40,2.0,3,475.98,,435.38
NIFTY25AUGFUT,10,1.0,41,-666.2,,666.2
NIFTY25AUGFUT,10,1.5,13,1078.51,,553.51
NIFTY25AUGFUT,10,2.0,4,1011.39,,476.83
NIFTY25AUGFUT,20,1.0,33,-641.19,,654.12
NIFTY25AUGFUT,20,1.5,11,1018.89,,545.1
NIFTY25AUGFUT,20,2.0,2,-289.14,,803.21
NIFTY25AUGFUT,30,1.0,26,-678.5,,931.1
NIFTY25AUGFUT,30,1.5,6,650.54,,510.16
NIFTY25AUGFUT,30,2.0,4,650.54,,510.16
NIFTY25AUGFUT,40,1.0,23,-658.55,,658.55
NIFTY25AUGFUT,40,1.5,6,255.04,,545.62
NIFTY25AUGFUT,40,2.0,3,475.98,,435.38
BANKNIFTY25AUGFUT,10,1.0,39,-634.06,,1346.49
BANKNIFTY25AUGFUT,10,1.5,17,-634.06,,1346.49
BANKNIFTY25AUGFUT,10,2.0,4,-655.17,,1730.06
BANKNIFTY25AUGFUT,20,1.0,27,-626.21,,626.21
BANKNIFTY25AUGFUT,20,1.5,11,-688.48,,801.31
BANKNIFTY25AUGFUT,20,2.0,1,-990.62,,990.62
BANKNIFTY25AUGFUT,30,1.0,26,-662.21,,970.68
BANKNIFTY25AUGFUT,30,1.5,12,-688.48,,801.31
BANKNIFTY25AUGFUT,30,2.0,3,-990.62,,990.62
BANKNIFTY25AUGFUT,40,1.0,20,-684.96,,684.96
BANKNIFTY25AUGFUT,40,1.5,11,-688.48,,801.31
BANKNIFTY25AUGFUT,40,2.0,4,-990.62,,990.62
BANKNIFTY25AUGFUT,10,1.0,39,-634.06,,1346.49
BANKNIFTY25AUGFUT,10,1.5,17,-634.06,,1346.49
BANKNIFTY25AUGFUT,10,2.0,4,-655.17,,1730.06
BANKNIFTY25AUGFUT,20,1.0,27,-626.21,,626.21
BANKNIFTY25AUGFUT,20,1.5,11,-688.48,,801.31
BANKNIFTY25AUGFUT,20,2.0,1,-990.62,,990.62
BANKNIFTY25AUGFUT,30,1.0,26,-662.21,,970.68
BANKNIFTY25AUGFUT,30,1.5,12,-688.48,,801.31
BANKNIFTY25AUGFUT,30,2.0,3,-990.62,,990.62
BANKNIFTY25AUGFUT,40,1.0,20,-684.96,,684.96
BANKNIFTY25AUGFUT,40,1.5,11,-688.48,,801.31
BANKNIFTY25AUGFUT,40,2.0,4,-990.62,,990.62
HDFCBANK,10,1.0,37,-362.3,,444.88
HDFCBANK,10,1.5,12,-80.19,,140.52
HDFCBANK,10,2.0,6,-74.57,,142.14
HDFCBANK,20,1.0,30,-63.98,,170.87
HDFCBANK,20,1.5,11,-78.84,,140.52
HDFCBANK,20,2.0,4,-73.22,,142.14
HDFCBANK,30,1.0,29,-161.45,,257.73
HDFCBANK,30,1.5,10,-92.41,,161.55
HDFCBANK,30,2.0,4,-80.53,,140.52
HDFCBANK,40,1.0,27,-164.55,,269.6
HDFCBANK,40,1.5,7,41.82,,118.59
HDFCBANK,40,2.0,3,-48.87,,117.98
HDFCBANK,10,1.0,37,-362.3,,444.88
HDFCBANK,10,1.5,12,-80.19,,140.52
HDFCBANK,10,2.0,6,-74.57,,142.14
HDFCBANK,20,1.0,30,-63.98,,170.87
HDFCBANK,20,1.5,11,-78.84,,140.52
HDFCBANK,20,2.0,4,-73.22,,142.14
HDFCBANK,30,1.0,29,-161.45,,257.73
HDFCBANK,30,1.5,10,-92.41,,161.55
HDFCBANK,30,2.0,4,-80.53,,140.52
HDFCBANK,40,1.0,27,-164.55,,269.6
HDFCBANK,40,1.5,7,41.82,,118.59
HDFCBANK,40,2.0,3,-48.87,,117.98
