symbol,datetime,open,high,low,close,volume
TCS,2025-08-14 09:15:00+05:30,3034.0,3050.6,3034.0,3044.0,25640
TCS,2025-08-14 09:16:00+05:30,3044.1,3055.9,3043.2,3048.5,19408
TCS,2025-08-14 09:17:00+05:30,3048.6,3050.0,3044.6,3050.0,57290
TCS,2025-08-14 09:18:00+05:30,3049.9,3051.4,3047.8,3048.9,51492
TCS,2025-08-14 09:19:00+05:30,3050.0,3051.0,3047.0,3048.8,21783
TCS,2025-08-14 09:20:00+05:30,3048.7,3048.7,3044.0,3044.0,6883
TCS,2025-08-14 09:21:00+05:30,3044.0,3046.4,3041.7,3041.7,10637
TCS,2025-08-14 09:22:00+05:30,3041.7,3045.0,3041.5,3044.7,6144
TCS,2025-08-14 09:23:00+05:30,3044.8,3045.0,3043.0,3044.9,11252
TCS,2025-08-14 09:24:00+05:30,3045.0,3046.0,3044.3,3044.9,21911
TCS,2025-08-14 09:25:00+05:30,3044.6,3044.6,3043.7,3043.7,2868
TCS,2025-08-14 09:26:00+05:30,3043.7,3044.0,3043.0,3043.7,5033
TCS,2025-08-14 09:27:00+05:30,3043.7,3043.8,3041.8,3041.8,3584
TCS,2025-08-14 09:28:00+05:30,3041.8,3044.0,3041.8,3043.9,6926
TCS,2025-08-14 09:29:00+05:30,3043.7,3043.7,3041.5,3041.8,2965
TCS,2025-08-14 09:30:00+05:30,3041.8,3042.4,3041.8,3042.4,3397
TCS,2025-08-14 09:31:00+05:30,3042.4,3042.4,3041.6,3041.6,5391
TCS,2025-08-14 09:32:00+05:30,3041.5,3041.9,3040.5,3040.5,7635
TCS,2025-08-14 09:33:00+05:30,3040.6,3042.6,3040.0,3042.0,7298
TCS,2025-08-14 09:34:00+05:30,3042.0,3042.2,3039.0,3039.7,3937
TCS,2025-08-14 09:35:00+05:30,3039.2,3039.7,3036.5,3038.7,33546
TCS,2025-08-14 09:36:00+05:30,3039.7,3039.7,3038.9,3039.3,3042
TCS,2025-08-14 09:37:00+05:30,3039.3,3039.3,3038.0,3038.2,4742
TCS,2025-08-14 09:38:00+05:30,3038.3,3040.5,3038.3,3040.2,6351
TCS,2025-08-14 09:39:00+05:30,3040.5,3041.8,3039.0,3041.8,7083
TCS,2025-08-14 09:40:00+05:30,3041.8,3041.8,3039.0,3039.7,3447
TCS,2025-08-14 09:41:00+05:30,3039.7,3039.7,3039.4,3039.6,1801
TCS,2025-08-14 09:42:00+05:30,3041.0,3041.0,3039.6,3040.0,2591
TCS,2025-08-14 09:43:00+05:30,3039.8,3041.1,3039.8,3041.0,4683
TCS,2025-08-14 09:44:00+05:30,3041.0,3041.0,3040.7,3041.0,4254
TCS,2025-08-14 09:45:00+05:30,3040.7,3041.4,3040.0,3041.0,4205
TCS,2025-08-14 09:46:00+05:30,3041.0,3041.3,3040.5,3040.7,2892
TCS,2025-08-14 09:47:00+05:30,3040.7,3041.0,3040.7,3040.7,2401
TCS,2025-08-14 09:48:00+05:30,3040.7,3040.9,3040.6,3040.6,1940
TCS,2025-08-14 09:49:00+05:30,3040.7,3040.7,3039.6,3039.7,3513
TCS,2025-08-14 09:50:00+05:30,3039.7,3040.0,3039.7,3039.9,3028
TCS,2025-08-14 09:51:00+05:30,3039.7,3039.8,3039.0,3039.6,5170
TCS,2025-08-14 09:52:00+05:30,3039.6,3040.0,3039.3,3039.6,4984
TCS,2025-08-14 09:53:00+05:30,3039.6,3039.9,3036.2,3038.1,5453
TCS,2025-08-14 09:54:00+05:30,3037.7,3039.1,3037.7,3038.9,6488
TCS,2025-08-14 09:55:00+05:30,3038.9,3038.9,3037.5,3038.0,2952
TCS,2025-08-14 09:56:00+05:30,3038.0,3039.0,3037.6,3038.5,3175
TCS,2025-08-14 09:57:00+05:30,3038.5,3038.5,3037.2,3037.9,1651
TCS,2025-08-14 09:58:00+05:30,3037.8,3037.8,3036.2,3036.5,2926
TCS,2025-08-14 09:59:00+05:30,3035.7,3037.5,3035.2,3036.8,4197
TCS,2025-08-14 10:00:00+05:30,3036.3,3036.8,3036.0,3036.0,2295
TCS,2025-08-14 10:01:00+05:30,3036.0,3037.0,3035.5,3036.1,2771
TCS,2025-08-14 10:02:00+05:30,3036.1,3037.9,3036.0,3037.2,3194
TCS,2025-08-14 10:03:00+05:30,3037.2,3037.2,3034.3,3034.8,4466
TCS,2025-08-14 10:04:00+05:30,3034.8,3035.0,3033.3,3034.5,6306
TCS,2025-08-14 10:05:00+05:30,3034.5,3035.9,3034.0,3035.1,1975
TCS,2025-08-14 10:06:00+05:30,3035.5,3036.2,3034.9,3035.0,1548
TCS,2025-08-14 10:07:00+05:30,3035.0,3036.4,3034.6,3035.8,3918
TCS,2025-08-14 10:08:00+05:30,3035.8,3036.0,3034.8,3034.9,1778
TCS,2025-08-14 10:09:00+05:30,3034.9,3035.9,3034.4,3035.9,3074
TCS,2025-08-14 10:10:00+05:30,3034.8,3035.9,3034.5,3034.6,5486
TCS,2025-08-14 10:11:00+05:30,3034.6,3035.6,3034.4,3034.5,2179
TCS,2025-08-14 10:12:00+05:30,3034.5,3035.8,3033.3,3035.2,5576
TCS,2025-08-14 10:13:00+05:30,3035.2,3036.0,3034.0,3034.9,41817
TCS,2025-08-14 10:14:00+05:30,3034.9,3035.0,3034.8,3034.9,5564
TCS,2025-08-14 10:15:00+05:30,3035.0,3035.0,3034.5,3034.7,3605
TCS,2025-08-14 10:16:00+05:30,3034.7,3036.0,3034.3,3035.1,31198
TCS,2025-08-14 10:17:00+05:30,3035.4,3036.2,3035.1,3036.0,2337
TCS,2025-08-14 10:18:00+05:30,3036.9,3037.0,3034.7,3034.8,7344
TCS,2025-08-14 10:19:00+05:30,3034.8,3034.9,3034.0,3034.9,3372
TCS,2025-08-14 10:20:00+05:30,3034.9,3035.0,3034.8,3035.0,1728
TCS,2025-08-14 10:21:00+05:30,3034.9,3037.5,3034.9,3035.9,10180
TCS,2025-08-14 10:22:00+05:30,3035.4,3036.9,3034.9,3036.1,7270
TCS,2025-08-14 10:23:00+05:30,3036.1,3036.6,3035.5,3035.5,4526
TCS,2025-08-14 10:24:00+05:30,3035.5,3035.8,3034.5,3035.0,5356
TCS,2025-08-14 10:25:00+05:30,3034.9,3035.3,3034.5,3034.5,1527
TCS,2025-08-14 10:26:00+05:30,3034.5,3037.3,3034.5,3036.6,6688
TCS,2025-08-14 10:27:00+05:30,3036.6,3037.0,3036.3,3036.6,2654
TCS,2025-08-14 10:28:00+05:30,3036.6,3038.0,3036.6,3038.0,3569
TCS,2025-08-14 10:29:00+05:30,3038.0,3038.0,3036.7,3036.8,3887
TCS,2025-08-14 10:30:00+05:30,3036.8,3038.0,3036.7,3037.7,4432
TCS,2025-08-14 10:31:00+05:30,3037.6,3041.0,3037.6,3041.0,21184
TCS,2025-08-14 10:32:00+05:30,3041.0,3042.6,3040.8,3041.9,11586
TCS,2025-08-14 10:33:00+05:30,3040.8,3043.0,3040.7,3042.9,18893
TCS,2025-08-14 10:34:00+05:30,3042.9,3043.0,3042.2,3042.7,4874
TCS,2025-08-14 10:35:00+05:30,3042.7,3042.7,3041.0,3041.8,5262
TCS,2025-08-14 10:36:00+05:30,3041.8,3043.5,3041.4,3043.0,11025
TCS,2025-08-14 10:37:00+05:30,3043.0,3044.0,3042.5,3043.0,13219
TCS,2025-08-14 10:38:00+05:30,3042.6,3046.5,3041.9,3046.3,13422
TCS,2025-08-14 10:39:00+05:30,3046.4,3046.5,3044.1,3044.2,8447
TCS,2025-08-14 10:40:00+05:30,3042.5,3044.2,3040.0,3041.6,98670
TCS,2025-08-14 10:41:00+05:30,3041.2,3043.2,3040.4,3042.0,8464
TCS,2025-08-14 10:42:00+05:30,3042.0,3042.9,3040.6,3042.5,4486
TCS,2025-08-14 10:43:00+05:30,3042.9,3049.8,3042.5,3047.8,45340
TCS,2025-08-14 10:44:00+05:30,3047.8,3048.0,3045.1,3048.0,16334
TCS,2025-08-14 10:45:00+05:30,3048.0,3049.0,3046.5,3047.1,25761
TCS,2025-08-14 10:46:00+05:30,3047.1,3047.9,3045.0,3046.0,11893
TCS,2025-08-14 10:47:00+05:30,3046.0,3047.7,3045.9,3046.6,6789
TCS,2025-08-14 10:48:00+05:30,3046.6,3047.9,3046.5,3047.3,7854
TCS,2025-08-14 10:49:00+05:30,3047.3,3047.3,3047.1,3047.3,4865
TCS,2025-08-14 10:50:00+05:30,3047.3,3047.3,3045.2,3045.3,8869
TCS,2025-08-14 10:51:00+05:30,3045.4,3045.4,3043.2,3043.5,11653
TCS,2025-08-14 10:52:00+05:30,3043.5,3047.0,3043.1,3046.8,12735
TCS,2025-08-14 10:53:00+05:30,3047.0,3047.8,3045.6,3046.6,12417
TCS,2025-08-14 10:54:00+05:30,3046.6,3047.0,3046.5,3047.0,8982
TCS,2025-08-14 10:55:00+05:30,3047.0,3047.0,3044.0,3044.3,8475
TCS,2025-08-14 10:56:00+05:30,3044.3,3044.3,3041.7,3042.5,3846
TCS,2025-08-14 10:57:00+05:30,3042.5,3042.5,3041.9,3042.0,4617
TCS,2025-08-14 10:58:00+05:30,3041.7,3044.0,3041.7,3044.0,3352
TCS,2025-08-14 10:59:00+05:30,3044.0,3045.0,3042.8,3044.3,7427
TCS,2025-08-14 11:00:00+05:30,3044.4,3045.5,3043.2,3045.5,6456
TCS,2025-08-14 11:01:00+05:30,3045.0,3049.0,3045.0,3049.0,18123
TCS,2025-08-14 11:02:00+05:30,3049.0,3050.0,3048.7,3049.9,34788
TCS,2025-08-14 11:03:00+05:30,3049.9,3049.9,3048.0,3049.5,6322
TCS,2025-08-14 11:04:00+05:30,3049.5,3050.0,3047.9,3050.0,10414
TCS,2025-08-14 11:05:00+05:30,3050.0,3051.3,3049.2,3049.5,19540
TCS,2025-08-14 11:06:00+05:30,3049.5,3050.0,3048.9,3050.0,9724
TCS,2025-08-14 11:07:00+05:30,3050.0,3053.7,3049.6,3052.5,44933
TCS,2025-08-14 11:08:00+05:30,3052.5,3053.0,3051.7,3053.0,9357
TCS,2025-08-14 11:09:00+05:30,3053.0,3054.0,3053.0,3053.3,14923
TCS,2025-08-14 11:10:00+05:30,3053.3,3054.0,3050.6,3050.9,9538
TCS,2025-08-14 11:11:00+05:30,3050.9,3051.0,3050.2,3050.9,3818
TCS,2025-08-14 11:12:00+05:30,3050.9,3051.0,3048.5,3049.2,6221
TCS,2025-08-14 11:13:00+05:30,3049.2,3049.2,3047.6,3047.6,5046
TCS,2025-08-14 11:14:00+05:30,3047.3,3047.6,3045.0,3045.7,6210
TCS,2025-08-14 11:15:00+05:30,3045.6,3045.6,3043.2,3043.8,5785
TCS,2025-08-14 11:16:00+05:30,3043.8,3044.0,3042.3,3044.0,3626
TCS,2025-08-14 11:17:00+05:30,3043.0,3043.7,3042.0,3042.0,4264
TCS,2025-08-14 11:18:00+05:30,3042.1,3043.2,3041.1,3041.4,6946
TCS,2025-08-14 11:19:00+05:30,3041.4,3041.6,3041.0,3041.6,5581
TCS,2025-08-14 11:20:00+05:30,3041.6,3041.6,3041.2,3041.5,3444
TCS,2025-08-14 11:21:00+05:30,3041.5,3044.3,3041.5,3043.7,4213
TCS,2025-08-14 11:22:00+05:30,3043.7,3044.1,3042.0,3042.4,2699
TCS,2025-08-14 11:23:00+05:30,3042.4,3042.4,3041.1,3041.1,3125
TCS,2025-08-14 11:24:00+05:30,3041.3,3043.1,3039.2,3041.0,34398
TCS,2025-08-14 11:25:00+05:30,3041.0,3042.4,3039.2,3040.1,5153
TCS,2025-08-14 11:26:00+05:30,3040.1,3041.0,3038.5,3040.3,4078
TCS,2025-08-14 11:27:00+05:30,3040.3,3040.3,3038.7,3039.6,2981
TCS,2025-08-14 11:28:00+05:30,3039.0,3039.6,3038.0,3038.7,3613
TCS,2025-08-14 11:29:00+05:30,3038.7,3041.5,3038.5,3041.3,5479
TCS,2025-08-14 11:30:00+05:30,3041.3,3041.5,3040.0,3040.0,3487
TCS,2025-08-14 11:31:00+05:30,3040.0,3040.9,3038.8,3040.1,10597
TCS,2025-08-14 11:32:00+05:30,3040.1,3040.4,3038.8,3039.4,13036
